name,full,sparse,bits
OnWithBrightFlash,96,96.0,16
BrightFlash,101,50.5,32
AlternateOnAndDim,300,50.0,96
BlinkSlow,298,49.66666666666667,96
StaircaseContinuous,296,49.33333333333333,96
Beacon,68,34.0,32
HeartBeat,295,32.77777777777778,144
StaircaseBlink,296,29.599999999999998,160
BlinkIncreasing,298,27.09090909090909,176
BlinkDecreasing,298,24.833333333333336,192
Candle,299,23.0,208
Raindrops,298,22.923076923076923,208
Twinkle,298,22.923076923076923,208
TransmissionFixedBrightness,298,21.285714285714285,224
TransmissionRandomBrightness,294,21.0,224
Lightning,294,18.375,256
SOSBlink,296,15.578947368421053,304
EKG,299,3.8831168831168834,1232
GradualBuild,295,1.6573033707865168,2848
Lighthouse,305,1.1821705426356588,4128
FastInSlowOut,292,1.1274131274131274,4144
PulseSlow,302,1.0863309352517985,4448
Pulse,302,1.0378006872852232,4656
PulseFast,288,1.0105263157894737,4560
